,tp,fp,fn,tn,precision,recall,f1_score,false_positive_rate,false_negative_rate,detection_delay_min,detected,delay_steps
Baseline_1_Threshold,0,0,60,540,0.0,0.0,0.0,0.0,1.0,,False,
Baseline_2_IsolationForest,17,428,43,112,0.0382,0.2833,0.0673,0.7926,0.7167,55.0,True,11
Baseline_3_SemanticOnly,0,0,60,540,0.0,0.0,0.0,0.0,1.0,,False,
Proposed_JointEscalation,55,0,5,540,1.0,0.9167,0.9565,0.0,0.0833,20.0,True,4
