,tp,fp,fn,tn,precision,recall,f1_score,false_positive_rate,false_negative_rate,detection_delay_min,detected,delay_steps
Baseline_1_Threshold,0,0,36,364,0.0,0.0,0.0,0.0,1.0,,False,
Baseline_2_IsolationForest,19,1,17,363,0.95,0.5278,0.6786,0.0027,0.4722,0.0,True,0
Baseline_3_SemanticOnly,1,0,35,364,1.0,0.0278,0.0541,0.0,0.9722,0.0,True,0
Proposed_JointEscalation,0,1,36,363,0.0,0.0,0.0,0.0027,1.0,,False,
